Epoch, Phase, Loss, Accuracy, Precision, Recall, F1-Score
0, Training, 0.9627, 0.6140, 0.6134, 0.6140, 0.6124
0, Testing, 1.6859, 0.5278, 0.6598, 0.5278, 0.4771
1, Training, 0.6117, 0.7701, 0.7695, 0.7701, 0.7697
1, Testing, 0.9061, 0.7361, 0.7501, 0.7361, 0.7097
2, Training, 0.5017, 0.8174, 0.8176, 0.8174, 0.8172
2, Testing, 1.4535, 0.6003, 0.6878, 0.6003, 0.5397
3, Training, 0.4424, 0.8398, 0.8401, 0.8398, 0.8396
3, Testing, 1.4843, 0.6178, 0.7147, 0.6178, 0.5370
4, Training, 0.3677, 0.8703, 0.8700, 0.8703, 0.8699
4, Testing, 0.6842, 0.7040, 0.7503, 0.7040, 0.7077
5, Training, 0.3276, 0.8831, 0.8824, 0.8831, 0.8826
5, Testing, 0.4090, 0.8467, 0.8559, 0.8467, 0.8382
6, Training, 0.2852, 0.8988, 0.8982, 0.8988, 0.8983
6, Testing, 0.6544, 0.7613, 0.7900, 0.7613, 0.7337
7, Training, 0.1594, 0.9468, 0.9466, 0.9468, 0.9466
7, Testing, 0.1664, 0.9512, 0.9516, 0.9512, 0.9507
8, Training, 0.1210, 0.9597, 0.9596, 0.9597, 0.9596
8, Testing, 0.1388, 0.9588, 0.9591, 0.9588, 0.9587
9, Training, 0.0977, 0.9664, 0.9663, 0.9664, 0.9663
9, Testing, 0.1545, 0.9481, 0.9500, 0.9481, 0.9471
10, Training, 0.0966, 0.9685, 0.9684, 0.9685, 0.9685
10, Testing, 0.0989, 0.9741, 0.9741, 0.9741, 0.9740
11, Training, 0.0781, 0.9746, 0.9746, 0.9746, 0.9746
11, Testing, 0.1020, 0.9687, 0.9701, 0.9687, 0.9687
12, Training, 0.0678, 0.9776, 0.9776, 0.9776, 0.9776
12, Testing, 0.0941, 0.9672, 0.9675, 0.9672, 0.9670
13, Training, 0.0679, 0.9764, 0.9764, 0.9764, 0.9764
13, Testing, 0.0798, 0.9764, 0.9769, 0.9764, 0.9764
14, Training, 0.0420, 0.9867, 0.9867, 0.9867, 0.9867
14, Testing, 0.0648, 0.9802, 0.9804, 0.9802, 0.9801
15, Training, 0.0336, 0.9902, 0.9902, 0.9902, 0.9902
15, Testing, 0.0680, 0.9794, 0.9797, 0.9794, 0.9793
16, Training, 0.0300, 0.9914, 0.9914, 0.9914, 0.9914
16, Testing, 0.0640, 0.9802, 0.9804, 0.9802, 0.9801
17, Training, 0.0246, 0.9928, 0.9928, 0.9928, 0.9928
17, Testing, 0.0672, 0.9786, 0.9790, 0.9786, 0.9785
18, Training, 0.0269, 0.9933, 0.9933, 0.9933, 0.9933
18, Testing, 0.0571, 0.9809, 0.9812, 0.9809, 0.9808
19, Training, 0.0227, 0.9932, 0.9932, 0.9932, 0.9932
19, Testing, 0.0537, 0.9855, 0.9856, 0.9855, 0.9855
20, Training, 0.0192, 0.9946, 0.9946, 0.9946, 0.9946
20, Testing, 0.0618, 0.9825, 0.9828, 0.9825, 0.9824
21, Training, 0.0196, 0.9947, 0.9948, 0.9947, 0.9947
21, Testing, 0.0515, 0.9878, 0.9878, 0.9878, 0.9878
22, Training, 0.0222, 0.9935, 0.9935, 0.9935, 0.9935
22, Testing, 0.0566, 0.9840, 0.9841, 0.9840, 0.9839
23, Training, 0.0231, 0.9926, 0.9927, 0.9926, 0.9926
23, Testing, 0.0509, 0.9878, 0.9878, 0.9878, 0.9878
24, Training, 0.0241, 0.9925, 0.9925, 0.9925, 0.9925
24, Testing, 0.0528, 0.9863, 0.9863, 0.9863, 0.9862
