Epoch, Phase, Loss, Accuracy, Precision, Recall, F1-Score
0, Training, 0.9129, 0.6367, 0.6381, 0.6367, 0.6357
0, Testing, 0.8442, 0.6781, 0.6947, 0.6781, 0.6425
1, Training, 0.6662, 0.7511, 0.7507, 0.7511, 0.7503
1, Testing, 0.6321, 0.7536, 0.7666, 0.7536, 0.7453
2, Training, 0.5227, 0.8086, 0.8090, 0.8086, 0.8086
2, Testing, 0.9274, 0.6049, 0.7109, 0.6049, 0.5881
3, Training, 0.4221, 0.8484, 0.8477, 0.8484, 0.8478
3, Testing, 0.5960, 0.8131, 0.8183, 0.8131, 0.8057
4, Training, 0.3676, 0.8722, 0.8719, 0.8722, 0.8719
4, Testing, 0.6429, 0.7857, 0.7954, 0.7857, 0.7606
5, Training, 0.3012, 0.8957, 0.8959, 0.8957, 0.8956
5, Testing, 0.4657, 0.8139, 0.8403, 0.8139, 0.8098
6, Training, 0.2708, 0.9058, 0.9058, 0.9058, 0.9057
6, Testing, 1.8087, 0.5423, 0.7338, 0.5423, 0.5352
7, Training, 0.1536, 0.9470, 0.9472, 0.9470, 0.9470
7, Testing, 0.1580, 0.9481, 0.9487, 0.9481, 0.9482
8, Training, 0.1170, 0.9646, 0.9646, 0.9646, 0.9646
8, Testing, 0.1508, 0.9489, 0.9495, 0.9489, 0.9485
9, Training, 0.0986, 0.9687, 0.9686, 0.9687, 0.9686
9, Testing, 0.1092, 0.9596, 0.9595, 0.9596, 0.9593
10, Training, 0.0856, 0.9716, 0.9716, 0.9716, 0.9716
10, Testing, 0.1194, 0.9565, 0.9585, 0.9565, 0.9564
11, Training, 0.0728, 0.9771, 0.9770, 0.9771, 0.9770
11, Testing, 0.1143, 0.9558, 0.9566, 0.9558, 0.9555
12, Training, 0.0566, 0.9800, 0.9800, 0.9800, 0.9800
12, Testing, 0.0665, 0.9764, 0.9764, 0.9764, 0.9764
13, Training, 0.0468, 0.9858, 0.9858, 0.9858, 0.9858
13, Testing, 0.0627, 0.9748, 0.9753, 0.9748, 0.9748
14, Training, 0.0307, 0.9905, 0.9905, 0.9905, 0.9905
14, Testing, 0.0487, 0.9825, 0.9827, 0.9825, 0.9825
15, Training, 0.0282, 0.9916, 0.9916, 0.9916, 0.9916
15, Testing, 0.0491, 0.9832, 0.9836, 0.9832, 0.9832
16, Training, 0.0233, 0.9925, 0.9925, 0.9925, 0.9925
16, Testing, 0.0464, 0.9870, 0.9871, 0.9870, 0.9870
17, Training, 0.0263, 0.9939, 0.9939, 0.9939, 0.9939
17, Testing, 0.0491, 0.9817, 0.9820, 0.9817, 0.9817
18, Training, 0.0229, 0.9946, 0.9946, 0.9946, 0.9946
18, Testing, 0.0450, 0.9847, 0.9850, 0.9847, 0.9848
19, Training, 0.0170, 0.9946, 0.9946, 0.9946, 0.9946
19, Testing, 0.0476, 0.9840, 0.9847, 0.9840, 0.9840
20, Training, 0.0169, 0.9961, 0.9961, 0.9961, 0.9961
20, Testing, 0.0505, 0.9840, 0.9844, 0.9840, 0.9839
21, Training, 0.0165, 0.9965, 0.9965, 0.9965, 0.9965
21, Testing, 0.0432, 0.9870, 0.9873, 0.9870, 0.9870
22, Training, 0.0137, 0.9967, 0.9967, 0.9967, 0.9967
22, Testing, 0.0495, 0.9840, 0.9844, 0.9840, 0.9839
23, Training, 0.0180, 0.9944, 0.9944, 0.9944, 0.9944
23, Testing, 0.0473, 0.9863, 0.9865, 0.9863, 0.9863
24, Training, 0.0137, 0.9958, 0.9958, 0.9958, 0.9958
24, Testing, 0.0469, 0.9825, 0.9830, 0.9825, 0.9825
