Epoch, Phase, Loss, Accuracy, Precision, Recall, F1-Score
0, Training, 0.9592, 0.5928, 0.5961, 0.5928, 0.5934
0, Testing, 1.0100, 0.5500, 0.6449, 0.5500, 0.5483
1, Training, 0.6631, 0.7463, 0.7460, 0.7463, 0.7458
1, Testing, 1.3753, 0.5393, 0.6520, 0.5393, 0.5148
2, Training, 0.5285, 0.8048, 0.8059, 0.8048, 0.8048
2, Testing, 0.5432, 0.7864, 0.8000, 0.7864, 0.7842
3, Training, 0.4680, 0.8298, 0.8297, 0.8298, 0.8293
3, Testing, 0.8970, 0.6331, 0.7833, 0.6331, 0.6274
4, Training, 0.4016, 0.8557, 0.8564, 0.8557, 0.8556
4, Testing, 0.7558, 0.7353, 0.8077, 0.7353, 0.7138
5, Training, 0.3570, 0.8696, 0.8696, 0.8696, 0.8694
5, Testing, 0.6791, 0.7315, 0.7770, 0.7315, 0.7305
6, Training, 0.3125, 0.8901, 0.8904, 0.8901, 0.8900
6, Testing, 0.4120, 0.8535, 0.8658, 0.8535, 0.8458
7, Training, 0.2003, 0.9310, 0.9307, 0.9310, 0.9307
7, Testing, 0.1852, 0.9275, 0.9282, 0.9275, 0.9273
8, Training, 0.1604, 0.9463, 0.9463, 0.9463, 0.9462
8, Testing, 0.1707, 0.9390, 0.9396, 0.9390, 0.9387
9, Training, 0.1423, 0.9541, 0.9541, 0.9541, 0.9541
9, Testing, 0.1624, 0.9375, 0.9380, 0.9375, 0.9371
10, Training, 0.1366, 0.9520, 0.9520, 0.9520, 0.9520
10, Testing, 0.1651, 0.9375, 0.9379, 0.9375, 0.9364
11, Training, 0.1280, 0.9585, 0.9585, 0.9585, 0.9585
11, Testing, 0.1537, 0.9504, 0.9530, 0.9504, 0.9509
12, Training, 0.0990, 0.9662, 0.9662, 0.9662, 0.9662
12, Testing, 0.1253, 0.9565, 0.9576, 0.9565, 0.9567
13, Training, 0.0920, 0.9678, 0.9678, 0.9678, 0.9678
13, Testing, 0.1074, 0.9664, 0.9667, 0.9664, 0.9661
14, Training, 0.0667, 0.9779, 0.9779, 0.9779, 0.9779
14, Testing, 0.0946, 0.9672, 0.9678, 0.9672, 0.9672
15, Training, 0.0657, 0.9806, 0.9805, 0.9806, 0.9806
15, Testing, 0.0872, 0.9748, 0.9749, 0.9748, 0.9747
16, Training, 0.0619, 0.9811, 0.9811, 0.9811, 0.9811
16, Testing, 0.0894, 0.9672, 0.9675, 0.9672, 0.9671
17, Training, 0.0636, 0.9771, 0.9770, 0.9771, 0.9770
17, Testing, 0.0865, 0.9649, 0.9660, 0.9649, 0.9650
18, Training, 0.0600, 0.9806, 0.9806, 0.9806, 0.9806
18, Testing, 0.0769, 0.9764, 0.9764, 0.9764, 0.9763
19, Training, 0.0552, 0.9820, 0.9820, 0.9820, 0.9820
19, Testing, 0.0778, 0.9756, 0.9757, 0.9756, 0.9755
20, Training, 0.0502, 0.9841, 0.9841, 0.9841, 0.9841
20, Testing, 0.0798, 0.9718, 0.9719, 0.9718, 0.9716
21, Training, 0.0558, 0.9811, 0.9811, 0.9811, 0.9811
21, Testing, 0.0732, 0.9771, 0.9772, 0.9771, 0.9771
22, Training, 0.0561, 0.9820, 0.9820, 0.9820, 0.9820
22, Testing, 0.0727, 0.9786, 0.9787, 0.9786, 0.9786
23, Training, 0.0545, 0.9818, 0.9818, 0.9818, 0.9818
23, Testing, 0.0710, 0.9802, 0.9802, 0.9802, 0.9801
24, Training, 0.0492, 0.9862, 0.9862, 0.9862, 0.9862
24, Testing, 0.0708, 0.9794, 0.9794, 0.9794, 0.9794
