Epoch, Phase, Loss, Accuracy, Precision, Recall, F1-Score
0, Training, 0.7739, 0.6912, 0.6904, 0.6912, 0.6902
0, Testing, 1.2062, 0.5912, 0.6727, 0.5912, 0.5543
1, Training, 0.5246, 0.8002, 0.7989, 0.8002, 0.7991
1, Testing, 0.6416, 0.7315, 0.7234, 0.7315, 0.7240
2, Training, 0.4217, 0.8430, 0.8428, 0.8430, 0.8425
2, Testing, 3.0621, 0.4127, 0.6749, 0.4127, 0.3716
3, Training, 0.3639, 0.8717, 0.8718, 0.8717, 0.8713
3, Testing, 0.4661, 0.8291, 0.8407, 0.8291, 0.8254
4, Training, 0.2887, 0.8955, 0.8954, 0.8955, 0.8952
4, Testing, 0.3746, 0.8642, 0.8739, 0.8642, 0.8612
5, Training, 0.2444, 0.9104, 0.9102, 0.9104, 0.9102
5, Testing, 0.4608, 0.8246, 0.8607, 0.8246, 0.8274
6, Training, 0.1797, 0.9370, 0.9370, 0.9370, 0.9369
6, Testing, 0.2193, 0.9245, 0.9260, 0.9245, 0.9238
7, Training, 0.1024, 0.9680, 0.9679, 0.9680, 0.9679
7, Testing, 0.1049, 0.9641, 0.9646, 0.9641, 0.9641
8, Training, 0.0703, 0.9793, 0.9793, 0.9793, 0.9793
8, Testing, 0.0958, 0.9710, 0.9714, 0.9710, 0.9710
9, Training, 0.0612, 0.9811, 0.9811, 0.9811, 0.9811
9, Testing, 0.0838, 0.9748, 0.9749, 0.9748, 0.9748
10, Training, 0.0501, 0.9842, 0.9842, 0.9842, 0.9842
10, Testing, 0.0818, 0.9741, 0.9741, 0.9741, 0.9740
11, Training, 0.0465, 0.9860, 0.9860, 0.9860, 0.9860
11, Testing, 0.0690, 0.9794, 0.9797, 0.9794, 0.9794
12, Training, 0.0421, 0.9886, 0.9886, 0.9886, 0.9886
12, Testing, 0.1211, 0.9611, 0.9616, 0.9611, 0.9606
13, Training, 0.0324, 0.9909, 0.9909, 0.9909, 0.9909
13, Testing, 0.0631, 0.9779, 0.9782, 0.9779, 0.9778
14, Training, 0.0229, 0.9942, 0.9942, 0.9942, 0.9942
14, Testing, 0.0607, 0.9786, 0.9791, 0.9786, 0.9786
15, Training, 0.0232, 0.9932, 0.9932, 0.9932, 0.9932
15, Testing, 0.0583, 0.9817, 0.9819, 0.9817, 0.9817
16, Training, 0.0213, 0.9947, 0.9947, 0.9947, 0.9947
16, Testing, 0.0579, 0.9840, 0.9843, 0.9840, 0.9840
17, Training, 0.0157, 0.9963, 0.9963, 0.9963, 0.9963
17, Testing, 0.0511, 0.9847, 0.9849, 0.9847, 0.9847
18, Training, 0.0210, 0.9933, 0.9933, 0.9933, 0.9933
18, Testing, 0.0518, 0.9855, 0.9857, 0.9855, 0.9855
19, Training, 0.0170, 0.9970, 0.9970, 0.9970, 0.9970
19, Testing, 0.0519, 0.9847, 0.9850, 0.9847, 0.9847
20, Training, 0.0171, 0.9961, 0.9961, 0.9961, 0.9961
20, Testing, 0.0562, 0.9809, 0.9812, 0.9809, 0.9809
21, Training, 0.0189, 0.9953, 0.9953, 0.9953, 0.9953
21, Testing, 0.0582, 0.9847, 0.9850, 0.9847, 0.9847
22, Training, 0.0187, 0.9944, 0.9944, 0.9944, 0.9944
22, Testing, 0.0538, 0.9847, 0.9850, 0.9847, 0.9847
